@airline This is unacceptable. Flight delayed 5 hours with no explanation. #angry #badservice,twitter-roberta,Negative
@airline This is unacceptable. Flight delayed 5 hours with no explanation. #angry #badservice,roberta,Negative
@airline This is unacceptable. Flight delayed 5 hours with no explanation. #angry #badservice,svm,Negative
Love how @customer_service ignores DMs for 3 days straight. Truly setting the standard. 👏 #sarcasm #badservice,twitter-roberta,Positive
Love how @customer_service ignores DMs for 3 days straight. Truly setting the standard. 👏 #sarcasm #badservice,roberta,Positive
Love how @customer_service ignores DMs for 3 days straight. Truly setting the standard. 👏 #sarcasm #badservice,svm,Positive
@citynews Reports suggest traffic will be heavy near downtown due to construction. #trafficupdate,svm,Neutral
@citynews Reports suggest traffic will be heavy near downtown due to construction. #trafficupdate,twitter-roberta,Neutral
@citynews Reports suggest traffic will be heavy near downtown due to construction. #trafficupdate,roberta,Neutral
"Didn't expect much, but @newcafe absolutely nailed the cappuccino today. Pleasant surprise! ☕ #hiddenGem",twitter-roberta,Positive
"Didn't expect much, but @newcafe absolutely nailed the cappuccino today. Pleasant surprise! ☕ #hiddenGem",svm,Negative
"Didn't expect much, but @newcafe absolutely nailed the cappuccino today. Pleasant surprise! ☕ #hiddenGem",roberta,Positive
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",roberta,Negative
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",twitter-roberta,Neutral
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",roberta,Negative
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",svm,Positive
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",svm,Positive
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",svm,Positive
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",svm,Positive
"I waited 3 hours for food but hey, at least the ketchup was fancy. 🍟 @restaurant #sarcasm #hungry",twitter-roberta,Neutral
